rank,name,count,frequency
936,Sommerfeld,10805,1:7451
937,Brehm,10798,1:7456
938,Kratz,10786,1:7464
939,Lerch,10776,1:7471
940,Grabowski,10773,1:7473
941,Palm,10769,1:7476
942,Grunwald,10763,1:7480
943,Lauterbach,10762,1:7481
944,Hopp,10733,1:7501
945,Knauer,10713,1:7515
946,Ehrlich,10701,1:7523
947,Bolz,10693,1:7529
948,Kreuzer,10689,1:7532
949,Hermanns,10681,1:7537
950,Bucher,10652,1:7558
951,Raabe,10648,1:7561
952,Petry,10604,1:7592
953,Hollmann,10563,1:7621
954,Drechsler,10552,1:7629
955,Friese,10546,1:7634
956,Christiansen,10542,1:7637
957,Wilkens,10529,1:7646
958,Wessels,10509,1:7661
959,Bosse,10505,1:7664
960,Bräuer,10497,1:7669
961,Reif,10494,1:7672
962,Exner,10477,1:7684
963,Fechner,10456,1:7699
964,Kummer,10451,1:7703
965,Fichtner,10424,1:7723
966,Andres,10418,1:7728
967,Wüst,10390,1:7748
968,Linder,10384,1:7753
969,Lüdtke,10382,1:7754
970,Büscher,10379,1:7757
971,Finger,10375,1:7760
972,Reis,10369,1:7764
973,Merk,10368,1:7765
974,Aigner,10352,1:7777
975,Rösler,10351,1:7778
976,Goebel,10338,1:7787
977,Franzen,10327,1:7796
978,Grünewald,10320,1:7801
979,Struck,10270,1:7839
980,Siegert,10269,1:7840
981,Kleinert,10266,1:7842
982,Welsch,10243,1:7860
983,Hoch,10241,1:7861
984,Habermann,10230,1:7870
985,Fiebig,10225,1:7873
986,Seibel,10218,1:7879
987,Zorn,10214,1:7882
988,Dreier,10200,1:7893
989,Heidemann,10181,1:7907
990,Zöller,10136,1:7943
991,Henrich,10134,1:7944
992,Bruhn,10128,1:7949
993,Wächter,10119,1:7956
994,Weigand,10058,1:8004
995,Metzner,10055,1:8007
996,Freese,10019,1:8035
997,Hopf,9985,1:8063
998,Pusch,9984,1:8063
999,Weiser,9974,1:8072
1000,Boos,9948,1:8093
